Date,Time Slot,Estimated Hourly Footfall,Day of Week,Temperature,Cloud Cover,Icon
2024-01-01,06:00 - 07:00,515,Monday,21.0,0.0,clear-day
2024-01-01,07:00 - 08:00,1754,Monday,21.0,0.0,clear-day
2024-01-01,08:00 - 09:00,2933,Monday,21.0,0.0,clear-day
2024-01-01,09:00 - 10:00,2467,Monday,21.0,0.0,clear-day
2024-01-01,10:00 - 11:00,4340,Monday,21.0,0.0,clear-day
2024-01-01,11:00 - 12:00,1615,Monday,21.0,0.0,clear-day
2024-01-01,12:00 - 13:00,971,Monday,21.0,0.0,clear-day
2024-01-01,13:00 - 14:00,1268,Monday,21.0,0.0,clear-day
2024-01-01,14:00 - 15:00,1496,Monday,21.0,0.0,clear-day
2024-01-01,15:00 - 16:00,1030,Monday,21.0,0.0,clear-day
2024-01-01,16:00 - 17:00,1179,Monday,21.0,0.0,clear-day
2024-01-01,17:00 - 18:00,2725,Monday,21.0,0.0,clear-day
2024-01-01,18:00 - 19:00,3617,Monday,21.0,0.0,clear-day
2024-01-01,19:00 - 20:00,3260,Monday,21.0,0.0,clear-day
2024-01-01,20:00 - 21:00,2378,Monday,21.0,0.0,clear-day
2024-01-01,21:00 - 22:00,1952,Monday,21.0,0.0,clear-day
2024-01-01,22:00 - 23:00,416,Monday,21.0,0.0,clear-day
2024-01-02,06:00 - 07:00,463,Tuesday,19.8,4.6,clear-day
2024-01-02,07:00 - 08:00,1577,Tuesday,19.8,4.6,clear-day
2024-01-02,08:00 - 09:00,2638,Tuesday,19.8,4.6,clear-day
2024-01-02,09:00 - 10:00,2219,Tuesday,19.8,4.6,clear-day
2024-01-02,10:00 - 11:00,3903,Tuesday,19.8,4.6,clear-day
2024-01-02,11:00 - 12:00,1452,Tuesday,19.8,4.6,clear-day
2024-01-02,12:00 - 13:00,873,Tuesday,19.8,4.6,clear-day
2024-01-02,13:00 - 14:00,1140,Tuesday,19.8,4.6,clear-day
2024-01-02,14:00 - 15:00,1345,Tuesday,19.8,4.6,clear-day
2024-01-02,15:00 - 16:00,926,Tuesday,19.8,4.6,clear-day
2024-01-02,16:00 - 17:00,1060,Tuesday,19.8,4.6,clear-day
2024-01-02,17:00 - 18:00,2451,Tuesday,19.8,4.6,clear-day
2024-01-02,18:00 - 19:00,3253,Tuesday,19.8,4.6,clear-day
